frequency	fraction
6834702612	0.0626959234945711
6834701612	0.0310437389022549
6834700612	0.0209741994443214
6834699612	0.00100042144419866
6834698612	-0.0131137366898525
6834697612	-0.0318767970754912
6834696612	-0.0226987778455487
6834695612	-0.0194097663150232
6834694612	0.0131559828321996
6834693612	0.0547159400492267
6834692612	0.108698745704295
6834691612	0.182992747527938
6834690612	0.263293863628336
6834689612	0.340636378484924
6834688612	0.425811364016259
6834687612	0.532243640393557
6834686612	0.611431348328596
6834685612	0.66427609062589
6834684612	0.715923652270394
6834683612	0.746092339343238
6834682612	0.751383770484151
6834681612	0.749682047579085
6834680612	0.689768736605941
6834679612	0.66586525293695
6834678612	0.597087624649087
6834677612	0.507909606986531
6834676612	0.440565859025787
6834675612	0.357724222785179
6834674612	0.251614184743705
6834673612	0.189621322150361
6834672612	0.111543289816084
6834671612	0.0573708509322181
6834670612	0.0164768709165067
6834669612	-0.0137198732960431
6834668612	-0.0226343181972126
6834667612	-0.0180403645161821
6834666612	-0.0155472416591552
6834665612	0.00113697891881052
6834664612	0.0312020645486968
6834663612	0.0440373552475841
6834662612	0.0547211594145497
